User Id,Review Id,Business Id,Stars,Date,Review,Service,Ambience,Locality
15,26,26,5,12-02-18,yes it is very good,4,4,2
21,31,24,3,12-09-17,The place is very nice,5,5,5
121,15564,643,2,12-12-17,This is not good for noodle,4,4,3
12164,4546,4512,3,25-05-19,the experience is very nice experience is very nice,5,5,2
24123,124,2121,3,23-02-14,ok place,4,5,5
423432,2534,31,3,12-01-00,it is fine,3,4,1
543,4534,24,2,30-06-18,service is poor,2,5,5
5425,4124,1131,4,23-05-17,very good place to stay,4,5,4
5334,3422,3232,3,03-02-15,locality can be better,4,5,3
545,43534,32321,4,03-04-15,descent place,4,4,4
436346,63564,3132,2,25-03-17,poor locality,5,4,2
635654,7578768,232,4,03-02-15,normal place,4,4,4
6546,8686,4343,2,03-02-15,poor ambience,5,2,5
6646,68786,5354,1,03-02-15,worst experience,5,1,5
22352,74574,2312,5,03-02-15,very good place to stay,4,5,5
245346,568,243,1,03-02-15,worst service,1,2,4
6756,67966,23131,2,03-02-15,average place,4,3,5
6474,967978,34345,5,03-02-15,excellent place,5,5,4
87585,67574,454,3,03-02-15,average place,5,3,5
85685,454745,6454,3,03-02-15,poor ambience,4,2,5
42,34636,34242,5,03-02-15,excellent place,4,5,4
4124,6434,654,3,03-02-15,poor service,3,2,4
414,63,53535,2,03-02-15,poor ambience,4,2,5
532,5422,23232,5,03-02-15,excellent place,5,4,4
565,565,323,3,23-25-5845,excellent the hotel is excellent hello hello there are rats in the room,3,4,3
